Sample_code,Method,Spike,Water_type,Volume,Replicate,N1_Rec%,Flu-A_Rec%,Flu-B_Rec%,Phi6_Rec%,NoVGII_Rec%,MeV_Rec%,RoV_Rec%,MNV Rec%,CrAss_Rec%,AdV_Rec%,PMMoV_Rec%
AS_200_S_WW,AS,S,WW,150,3,1.41834475,1.023255475,0.748971294,3.716999442,0.800285164,1.037371699,0.747251293,1.553554124,0.348722334,0.210334917,1.769012309
AS_50_S_WW,AS,S,WW,37.5,1,6.30638867,5.646533822,3.835961408,17.99218964,4.403344295,5.123274697,5.209844131,6.115351153,1.324724677,1.147064725,8.4065682
AS_50_S_WW,AS,S,WW,37.5,2,5.863458967,4.060958064,2.954430213,13.31464091,5.92876098,4.343596946,5.181236793,7.540277789,1.184702282,1.042636847,9.058998904
AS_50_S_WW,AS,S,WW,37.5,3,5.507948352,3.70033134,2.615646214,14.06178007,3.701778904,4.110779233,4.3256688,5.127804587,1.421688824,1.138338872,4.949979714
BE-PEG_20_S_WW,BE-PEG,S,WW,15,1,24.92005733,10.83881006,12.32672482,20.97286233,26.70663495,16.46442368,23.35758823,11.6630859,3.509503384,2.995742139,9.446517423
BE-PEG_20_S_WW,BE-PEG,S,WW,15,2,24.2332858,5.752188831,6.920080374,18.10658187,22.38187362,12.38955621,18.26802117,14.45976529,3.648709783,3.179016174,6.876968162
BE-PEG_20_S_WW,BE-PEG,S,WW,15,3,21.17157938,9.719737888,10.9297938,20.01393371,18.6110686,13.31728891,19.97063563,8.864867423,3.123084341,2.561732606,9.116485493
BE-PEG_200_S_WW,BE-PEG,S,WW,150,1,8.609302954,3.727120821,4.002090898,9.604388391,9.953058288,4.24316519,5.307776241,3.838291394,0.702699153,0.37893442,2.978727693
BE-PEG_200_S_WW,BE-PEG,S,WW,150,2,11.27110705,5.207071805,5.242753298,13.10788077,14.48299381,7.967861395,8.437161398,4.408352333,2.959996124,1.218549756,5.012041355
BE-PEG_200_S_WW,BE-PEG,S,WW,150,3,4.885694277,2.145646613,2.203300499,5.742336164,4.8771508,2.282668749,4.703069379,1.350825722,0.617844773,0.432127006,2.23796354
BE-PEG_50_S_WW,BE-PEG,S,WW,37.5,1,16.33785078,27.98803494,26.65811686,18.45642035,13.82675657,8.033065884,13.78605014,7.827057194,2.137286873,1.503257113,7.595780804
BE-PEG_50_S_WW,BE-PEG,S,WW,37.5,2,15.96049919,2.362212019,1.377965435,17.55627507,15.67074906,10.97867042,15.53839238,10.52046867,2.424125124,1.764722157,7.775102623
BE-PEG_50_S_WW,BE-PEG,S,WW,37.5,3,12.5069458,40.05504358,38.87335512,11.22505167,12.6221039,7.21264238,11.38183038,7.29148905,1.886006928,1.084325853,6.123859474
Pellet_BE_PEG_50_S_WW,Pellet_BE,S,WW,50,1,1.177732566,0.904516461,0.513621806,0.22759936,2.19258831,0.616047518,0.21517398,,1.482641844,0.900448106,1.243100683
Pellet_BE_PEG_50_S_WW,Pellet_BE,S,WW,50,2,1.042231593,0.543398318,0.278584002,,2.359979149,0.367078293,0.367497235,,1.039227729,1.808143968,1.139987295
Pellet_BE_PEG_50_S_WW,Pellet_BE,S,WW,50,3,0.995192475,0.599032585,0.335672285,0.018249322,1.805644608,0.522699536,0.192089131,,1.320175703,0.831054931,1.351711673
IP_20_S_WW,IP,S,WW,15,1,2.699085995,4.318261943,3.886664358,12.05384425,6.436098225,10.7366992,3.224153848,9.40358823,3.482127703,1.591893761,8.938496924
IP_20_S_WW,IP,S,WW,15,2,2.987795471,6.189753393,4.026385625,16.54579172,8.733777983,9.673694945,4.740335927,9.105127542,2.572869855,1.335112679,10.01712118
IP_20_S_WW,IP,S,WW,15,3,2.680113214,5.101967863,11.84961143,12.11233189,6.485745566,6.497876203,3.292149202,3.1181449,1.900888875,0.949909982,6.459591534
IP_50_S_WW,IP,S,WW,37.5,1,1.667174306,3.212888858,2.547762467,5.941826954,2.886965446,5.452403683,2.114646784,6.144070049,1.276414493,0.767797455,3.927519852
IP_50_S_WW,IP,S,WW,37.5,2,1.372459406,2.65651401,2.239710169,5.22582511,3.035254945,5.111082658,2.029255112,4.164365462,0.95068419,0.595200052,3.440835822
IP_50_S_WW,IP,S,WW,37.5,3,1.477668394,2.895693159,2.349617103,5.949535169,3.79443216,4.115467409,2.082416334,3.91871027,0.949103459,0.501644975,3.564374853
PEG_20_S_WW,PEG,S,WW,15,1,2.722631671,0.470431266,0.914747386,2.175572138,1.236264743,4.317119497,3.271184749,,1.928769446,1.78583428,10.3685888
PEG_20_S_WW,PEG,S,WW,15,2,4.846453472,1.286316558,1.95578618,3.447954342,3.174910927,11.35108077,5.793300187,1.182963274,1.540584267,1.521417327,9.278484803
PEG_20_S_WW,PEG,S,WW,15,3,2.770382956,0.622175587,0.922921318,2.030630744,0.97268078,4.982612943,2.356982569,0.538594967,2.246066871,1.879046504,13.78644185
PEG_200_S_WW,PEG,S,WW,150,1,1.915400522,1.580189339,1.800320204,3.201026056,4.053447053,1.332645968,1.85052903,2.069287669,0.39823226,0.292826257,2.394437075
PEG_200_S_WW,PEG,S,WW,150,2,2.111310316,1.660232952,1.965972094,3.655877094,4.611553818,1.0558691,1.746896908,2.556278703,0.338180042,0.200170259,1.833093299
PEG_200_S_WW,PEG,S,WW,150,3,2.277821851,1.980398318,2.478498834,3.667834648,5.063498081,1.670887347,2.686061666,2.572122679,0.346166948,0.208781105,2.079536054
PEG_50_S_WW,PEG,S,WW,37.5,1,2.323231998,0.138659924,0.401390961,1.407078286,1.072152419,4.803174172,5.982980191,,0.983901649,1.492055549,4.873002836
PEG_50_S_WW,PEG,S,WW,37.5,2,6.938868156,0.414139842,1.198846676,2.7262321,2.985490345,4.877365335,8.594967182,,1.367714878,0,1.311695774
PEG_50_S_WW,PEG,S,WW,37.5,3,5.621682967,0.335524879,0.971273094,0.855858122,0.745697813,,9.634090809,0,,0,0.001891942
Pellet_PEG_50_S_WW,Pellet,S,WW,50,1,1.742423999,0.103994943,0.301043221,1.055308714,0.308903733,1.08285598,0.525248598,0,,0.06070868,0.042942987
Pellet_PEG_50_S_WW,Pellet,S,WW,50,2,5.204151117,0.310604882,0.899135007,2.044674075,1.080670302,2.521400112,,0,,0.002491214,
Pellet_PEG_50_S_WW,Pellet,S,WW,50,3,,,,,,3.151862263,,0,,0.002335506,
SEPA_20_S_WW,Amicon,S,WW,15,1,6.959728291,8.97956301,8.845097857,20.84343527,10.80673701,8.003912017,10.23622017,20.85405331,1.356063151,0.730007072,13.18884742
SEPA_20_S_WW,Amicon,S,WW,15,2,10.37705926,13.09039712,12.58878256,31.65789315,19.32619666,13.5526143,15.32279158,34.25523944,2.276536887,1.192007736,25.52641913
SEPA_20_S_WW,Amicon,S,WW,15,3,11.88457384,13.43083921,12.48488798,34.53998434,20.31528706,10.35506064,13.949413,32.94387096,2.340931699,1.126573083,22.63489639
SEPA_50_S_WW,Amicon,S,WW,20,1,9.544500373,10.92509658,11.0234124,27.95471906,17.73804929,10.92431768,11.50150682,24.53351202,1.677011764,1.184223121,18.12618107
SEPA_50_S_WW,Amicon,S,WW,20,2,11.1488608,12.01736118,12.68723436,38.70211468,15.49923199,9.694343605,14.24925554,17.05162394,1.718416141,1.250731387,17.57260447
SEPA_50_S_WW,Amicon,S,WW,20,3,11.81039438,11.04231362,10.96874307,38.42507516,20.90244907,15.05783088,13.16106359,22.24756095,1.763979429,1.330894854,17.53490352
AS_20_U_DW,AS,U,DW,15,1,,,,,,,,,,,
AS_20_U_DW,AS,U,DW,15,2,,,,,,,,,,,
AS_20_U_DW,AS,U,DW,15,3,,,,,,,,,,,
AS_200_U_DW,AS,U,DW,150,1,,,,,,,,,,,
AS_200_U_DW,AS,U,DW,150,2,,,,,,,,,,,
AS_200_U_DW,AS,U,DW,150,3,,,,,,,,,,,
AS_50_U_DW,AS,U,DW,37.5,1,,,,,,,,,,,
AS_50_U_DW,AS,U,DW,37.5,2,,,,,,,,,,,
AS_50_U_DW,AS,U,DW,37.5,3,,,,,,,,,,,
BE-PEG_20_U_DW,BE-PEG,U,DW,15,1,,,,,,,,,,,
BE-PEG_20_U_DW,BE-PEG,U,DW,15,2,,,,,,,,,,,
BE-PEG_20_U_DW,BE-PEG,U,DW,15,3,,,,,,,,,,,
BE-PEG_200_U_DW,BE-PEG,U,DW,150,1,,,,,,,,,,,
BE-PEG_200_U_DW,BE-PEG,U,DW,150,2,,,,,,,,,,,
BE-PEG_200_U_DW,BE-PEG,U,DW,150,3,,,,,,,,,,,
BE-PEG_50_U_DW,BE-PEG,U,DW,37.5,1,,,,,,,,,,,
BE-PEG_50_U_DW,BE-PEG,U,DW,37.5,2,,,,,,,,,,,
BE-PEG_50_U_DW,BE-PEG,U,DW,37.5,3,,,,,,,,,,,
Pellet_BE_PEG_50_U_DW,Pellet_BE,U,DW,50,1,,,,,,,,,,,
Pellet_BE_PEG_50_U_DW,Pellet_BE,U,DW,50,2,,,,,,,,,,,
Pellet_BE_PEG_50_U_DW,Pellet_BE,U,DW,50,3,,,,,,,,,,,
PEG_20_U_DW,PEG,U,DW,15,1,,,,,,,,,,,
PEG_20_U_DW,PEG,U,DW,15,2,,,,,,,,,,,
PEG_200_U_DW,PEG,U,DW,150,1,,,,,,,,,,,
PEG_200_U_DW,PEG,U,DW,150,2,,,,,,,,,,,
PEG_200_U_DW,PEG,U,DW,150,3,,,,,,,,,,,
PEG_50_U_DW,PEG,U,DW,37.5,1,,,,,,,,,,,
PEG_50_U_DW,PEG,U,DW,37.5,2,,,,,,,,,,,
PEG_50_U_DW,PEG,U,DW,37.5,3,,,,,,,,,,,
Pellet_PEG_50_U_DW,Pellet,U,DW,50,1,,,,,,,,,,,
Pellet_PEG_50_U_DW,Pellet,U,DW,50,2,,,,,,,,,,,
Pellet_PEG_50_U_DW,Pellet,U,DW,50,3,,,,,,,,,,,
SEPA_20_U_DW,Amicon,U,DW,15,1,,,,,,,,,,,
SEPA_20_U_DW,Amicon,U,DW,15,2,,,,,,,,,,,
SEPA_20_U_DW,Amicon,U,DW,15,3,,,,,,,,,,,
SEPA_50_U_DW,Amicon,U,DW,20,1,,,,,,,,,,,
SEPA_50_U_DW,Amicon,U,DW,20,2,,,,,,,,,,,
SEPA_50_U_DW,Amicon,U,DW,20,3,,,,,,,,,,,
AS_20_U_WW,AS,U,WW,15,1,1.994439013,,,,0.59731523,,,,1.559229922,1.830604034,6.224342132
AS_20_U_WW,AS,U,WW,15,2,,,,,0.080466505,,,,1.245050716,1.172034301,3.499123589
AS_20_U_WW,AS,U,WW,15,3,1.948790009,,,,2.262716509,,,,1.459391375,1.072116296,4.412744244
AS_200_U_WW,AS,U,WW,150,1,0.666643264,,,,0.173738504,,,,0.311642922,0.188887432,1.306226011
AS_200_U_WW,AS,U,WW,150,2,0.466655125,,,,,,,,0.417435768,0.191489337,1.750233716
AS_200_U_WW,AS,U,WW,150,3,0.660892728,,,,0.116162367,,,,0.379032104,0.188505676,1.910743882
